Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
Thomas Brechemier; 441; FRA; 21; 1996.06.28; 72; 178; 0-0; 0; 13,747; 399; 0-0; 0; 26,593
Andrew Harris; 442; AUS; 23; 1994.03.07; 82; 183; 0-0; 0; 13,832; 442; 0-0; 0; 43,057
Yannik Reuter; 443; BEL; 26; 1991.03.06;  ; ;0-0; 0; 37,976; 195; 0-0; 0; 169,683
Corentin Denolly; 444; FRA; 20; 1997.06.06; 77; 185; 0-0; 0; 13,928; 398; 0-0; 0; 40,690
Tomas Lipovsek Puches; 445; ARG; 24; 1993.04.17;  ; ;0-0; 0; 8,380; 214; 0-1; 0; 115,401
Alexis Musialek; 446; FRA; 29; 1988.07.04; 80; 183; 0-0; 0; 14,481; 255; 0-0; 0; 83,154
Sekou Bangoura; 447; USA; 26; 1991.11.18; 77; 183; 0-1; 0; 50,346; 213; 0-1; 0; 216,126
Benjamin Lock; 448; ZIM; 24; 1993.03.04; 86; 201; 0-0; 0; 8,279; 239; 1-0; 0; 42,823
Guillermo Olaso; 449; ESP; 29; 1988.03.25; 74; 175; 0-0; 0; 11,206; 167; 2-4; 0; 258,697
Johan Tatlot; 450; FRA; 21; 1996.03.26; 80; 180; 0-0; 0; 11,156; 315; 0-0; 0; 65,794
Jules Okala; 451; FRA; 20; 1997.08.18; 94; 193; 0-0; 0; 13,293; 439; 0-0; 0; 25,161
Andreas Haider-Maurer; 452; AUT; 30; 1987.03.22; 89; 191; 0-3; 0; 117,807; 47; 45-70; 0; 1,755,614
Dennis Nevolo; 453; USA; 28; 1989.12.22;  ; ;0-0; 0; 14,012; 345; 0-0; 0; 82,484
Vladyslav Manafov; 454; UKR; 24; 1993.04.22;  ; ;0-0; 0; 11,418; 190; 0-0; 0; 90,052
Evgeny Tyurnev; 455; RUS; 20; 1997.04.08;  ; ;0-1; 0; 21,661; 368; 0-1; 0; 67,342
Agustin Velotti; 456; ARG; 25; 1992.05.24;  ; ;0-1; 0; 29,228; 166; 0-4; 0; 271,594
Nils Langer; 457; GER; 27; 1990.01.25; 77; 193; 0-0; 0; 11,551; 188; 1-2; 0; 208,894
Pavel Kotov; 458; RUS; 19; 1998.11.18; 90; 191; 0-0; 0; 11,772; 457; 0-0; 0; 17,043
Botic Van de Zandschulp; 459; NED; 22; 1995.10.04; 83; 188; 0-0; 0; 6,145; 232; 0-0; 0; 36,209
Maxime Chazal; 460; FRA; 24; 1993.04.24;  ; ;0-0; 0; 15,290; 234; 0-0; 0; 107,267
Alessandro Petrone; 461; ITA; 27; 1990.12.23;  ; ;0-0; 0; 13,331; 457; 0-0; 0; 38,625
Tom Farquharson; 462; GBR; 25; 1992.02.12;  ; ;0-0; 0; 12,505; 429; 0-0; 0; 35,094
Sadio Doumbia; 463; FRA; 27; 1990.09.12; 78; 183; 0-0; 0; 4,672; 241; 0-0; 0; 79,194
Sam Barry; 464; IRL; 25; 1992.01.27; 83; 191; 0-0; 0; 17,979; 255; 2-7; 0; 118,007
Igor Smilansky; 465; ISR; 22; 1995.03.26;  ; ;0-0; 0; 12,740; 465; 0-0; 0; 24,895
Bruno Santanna; 466; BRA; 24; 1993.07.12; 80; 175; 0-0; 0; 14,868; 337; 0-0; 0; 90,372
Aleksandar Vukic; 467; AUS; 21; 1996.04.06; 84; 188; 0-0; 0; 13,535; 451; 0-0; 0; 27,395
Dragos Dima; 468; ROU; 25; 1992.06.16; 70; 180; 0-1; 0; 12,180; 286; 0-1; 0; 59,638
Leny Mitjana; 469; FRA; 23; 1994.08.01;  ; ;0-0; 0; 12,948; 469; 0-0; 0; 20,246
Takanyi Garanganga; 470; ZIM; 27; 1990.09.06; 80; 185; 0-0; 0; 14,460; 288; 3-3; 0; 99,120
Gregoire Jacq; 471; FRA; 25; 1992.11.09; 72; 180; 0-1; 0; 13,884; 210; 0-1; 0; 71,100
Takuto Niki; 472; JPN; 30; 1987.10.12; 73; 183; 0-0; 0; 6,181; 293; 0-0; 0; 129,277
Adrian Bodmer; 473; SUI; 22; 1995.03.06; 73; 180; 0-1; 0; 5,183; 338; 0-1; 0; 29,480
Pablo Vivero Gonzalez; 474; ESP; 22; 1995.04.26; 80; 193; 0-0; 0; 13,553; 283; 0-0; 0; 49,683
Jan Mertl; 475; CZE; 35; 1982.01.03; 84; 191; 0-0; 0; 13,381; 163; 2-1; 0; 597,668
Andres Artunedo Martinavarro; 476; ESP; 24; 1993.09.14; 75; 183; 0-0; 0; 12,069; 293; 0-1; 0; 74,452
Nikola Cacic; 477; SRB; 27; 1990.12.07; 75; 185; 0-0; 0; 7,265; 240; 0-3; 0; 117,406
Chuhan Wang; 478; CHN; 25; 1992.02.24; 75; 188; 0-0; 0; 19,980; 365; 1-2; 0; 111,225
Maxime Tabatruong; 479; FRA; 28; 1989.09.24; 72; 180; 0-0; 0; 14,054; 360; 0-0; 0; 49,288
Pedro Sakamoto; 480; BRA; 24; 1993.06.29; 77; 180; 0-0; 0; 11,446; 404; 0-0; 0; 59,660
Jonathan Eysseric; 481; FRA; 27; 1990.05.27; 79; 180; 8-10; 0; 65,527; 74; 9-20; 0; 518,514
Wishaya Trongcharoenchaikul; 482; THA; 22; 1995.04.08;  ; ;4-2; 0; 13,619; 476; 4-6; 0; 45,426
David Perez Sanz; 483; ESP; 23; 1994.05.15;  ; ;0-0; 0; 6,084; 158; 0-0; 0; 126,324
Fajing Sun; 484; CHN; 21; 1996.10.03; 75; 178; 0-1; 0; 9,531; 322; 0-2; 0; 69,581
Marco Bortolotti; 485; ITA; 26; 1991.01.21; 72; 175; 0-0; 0; 6,278; 202; 0-0; 0; 93,676
JC Aragone; 486; USA; 22; 1995.06.28; 79; 178; 0-1; 0; 59,260; 411; 0-1; 0; 65,464
Dmitry Tursunov; 487; RUS; 35; 1982.12.12; 82; 185; 1-5; 0; 174,837; 20; 231-218; 7; 5,920,125
Michal Przysiezny; 488; POL; 33; 1984.02.16; 84; 185; 0-0; 0; 9,908; 57; 31-74; 0; 1,335,820
Samuel Monette; 489; CAN; 23; 1994.01.14; 84; 180; 0-0; 0; 14,681; 483; 0-0; 0; 25,578
Remi Boutillier; 490; FRA; 27; 1990.01.15; 75; 188; 0-0; 0; 10,245; 235; 0-0; 0; 73,431
Niels Desein; 491; BEL; 30; 1987.06.09; 85; 191; 0-0; 0; 11,328; 154; 0-3; 0; 398,234
Pascal Brunner; 492; AUT; 28; 1989.06.11; 75; 180; 0-0; 0; 11,201; 362; 0-0; 0; 64,313
Juan Pablo Varillas; 493; PER; 22; 1995.10.06; 78; 185; 0-2; 0; 12,790; 413; 1-5; 0; 37,753
Jordi Samper-Montana; 494; ESP; 27; 1990.04.05;  ; ;0-0; 0; 28,846; 179; 0-1; 0; 293,140
Cristian Carli; 495; ITA; 21; 1996.03.25; 78; 185; 0-0; 0; 4,145; 459; 0-0; 0; 33,285
Alejandro Davidovich Fokina; 496; ESP; 18; 1999.06.05;  ; ;0-0; 0; 12,683; 454; 0-0; 0; 18,026
Nam Hoang Ly; 497; VIE; 20; 1997.02.25; 69; 175; 2-0; 0; 11,580; 462; 3-2; 0; 26,168
Roman Safiullin; 498; RUS; 20; 1997.08.07; 75; 185; 0-1; 0; 17,334; 314; 0-1; 0; 47,321
Alex Molcan; 499; SVK; 20; 1997.12.01; 73; 178; 0-0; 0; 11,037; 442; 0-0; 0; 25,389
Laurent Lokoli; 500; FRA; 23; 1994.10.18;  ; ;0-1; 0; 53,548; 207; 0-5; 0; 205,988
Thomas Statzberger; 501; AUT; 25; 1992.09.27; 80; 183; 0-0; 0; 12,813; 501; 0-0; 0; 35,108
Evan Song; 502; USA; 25; 1992.06.07; 75; 178; 0-0; 0; 15,813; 499; 0-0; 0; 53,471
Jurij Rodionov; 503; AUT; 18; 1999.05.16; 86; 191; 0-0; 0; 11,057; 493; 0-0; 0; 13,589
Julian Lenz; 504; GER; 24; 1993.02.17; 82; 188; 0-0; 0; 11,845; 504; 0-0; 0; 31,195
Elmar Ejupovic; 505; GER; 24; 1993.02.01; 90; 193; 0-0; 0; 12,433; 499; 0-0; 0; 27,978
Adrian Ungur; 506; ROU; 32; 1985.01.22; 73; 178; 1-1; 0; 9,388; 79; 17-40; 0; 961,008
Ulises Blanch; 507; USA; 19; 1998.03.25; 79; 185; 0-0; 0; 13,570; 507; 0-0; 0; 16,213
Emilio Gomez; 508; ECU; 26; 1991.11.28;  ; ;1-2; 0; 17,634; 215; 12-10; 0; 182,334
Lorenzo Frigerio; 509; ITA; 28; 1989.02.17; 80;  ;0-0; 0; 13,935; 375; 0-0; 0; 53,471
Jonathan Mridha; 510; SWE; 22; 1995.04.08; 75; 183; 0-0; 0; 10,987; 508; 0-0; 0; 30,168
Vishnu Vardhan; 511; IND; 30; 1987.07.27; 84; 188; 0-2; 0; 25,751; 116; 2-5; 0; 187,524
Peter Nagy; 512; HUN; 25; 1992.03.17; 73; 180; 0-0; 0; 11,088; 409; 3-3; 0; 42,219
Gijs Brouwer; 513; NED; 21; 1996.03.14; 72; 191; 0-0; 0; 10,856; 512; 0-0; 0; 20,151
Fred Gil; 514; POR; 32; 1985.03.24; 75; 173; 0-1; 0; 9,447; 105; 23-35; 1; 1,441,779
Artem Smirnov; 515; UKR; 29; 1988.02.02; 85; 188; 1-0; 0; 4,612; 159; 1-2; 0; 192,778
Mick Lescure; 516; FRA; 24; 1993.06.02; 72; 183; 0-0; 0; 11,835; 496; 0-0; 0; 52,854
Miguel Semmler; 517; ESP; 20; 1997.05.02; 64; 180; 0-0; 0; 3,788; 460; 0-0; 0; 39,390
Enzo Couacaud; 518; FRA; 22; 1995.03.01;  ; ;0-0; 0; 8,414; 206; 0-0; 0; 123,954
Benjamin Becker; 519; GER; 36; 1981.06.16; 72; 178; 0-3; 0; 60,768; 35; 153-220; 1; 4,399,584
Thai-Son Kwiatkowski; 520; USA; 22; 1995.02.13; 75; 188; 0-2; 0; 63,937; 520; 0-2; 0; 89,250
Luke Saville; 521; AUS; 23; 1994.01.02; 83; 188; 0-0; 0; 25,195; 152; 2-6; 0; 478,558
Igor Sijsling; 522; NED; 30; 1987.08.18; 85; 191; 0-0; 0; 29,494; 52; 50-90; 0; 2,150,767
Pietro Rondoni; 523; ITA; 24; 1993.11.03; 78; 185; 0-0; 0; 11,614; 523; 0-0; 0; 47,694
Tomas Papik; 524; CZE; 23; 1994.04.13; 81; 185; 0-0; 0; 10,314; 447; 0-0; 0; 34,787
Moez Echargui; 525; TUN; 24; 1993.01.10; 75; 180; 2-0; 0; 12,543; 498; 2-1; 0; 23,094
N Vijay Sundar Prashanth; 526; IND; 31; 1986.10.27; 75; 178; 0-0; 0; 8,140; 226; 0-0; 0; 95,212
Gianluca Di Nicola; 527; ITA; 22; 1995.12.07;  ; ;0-0; 0; 12,112; 523; 0-0; 0; 29,749
Felipe Mantilla; 528; COL; 24; 1993.05.10; 38;  ;0-0; 0; 10,939; 503; 0-0; 0; 67,692
Mor Bulis; 529; ISR; 21; 1996.04.18; 72; 183; 0-1; 0; 10,342; 529; 0-1; 0; 25,830
Tung-Lin Wu; 530; TPE; 19; 1998.05.12; 75; 188; 1-1; 0; 13,112; 530; 1-1; 0; 23,856
Tobias Simon; 531; GER; 26; 1991.05.18; 96; 198; 0-0; 0; 13,755; 488; 0-0; 0; 39,500
Rafael Matos; 532; BRA; 21; 1996.01.06; 74; 183; 0-0; 0; 4,473; 357; 0-0; 0; 31,802
Genaro Alberto Olivieri; 533; ARG; 19; 1998.08.04; 73; 175; 0-0; 0; 10,691; 494; 0-0; 0; 13,677
Lukas Klein; 534; SVK; 19; 1998.03.22; 85; 193; 0-0; 0; 11,768; 526; 0-0; 0; 19,837
Harry Bourchier; 535; AUS; 21; 1996.01.24; 76; 185; 0-0; 0; 5,786; 345; 0-0; 0; 66,319
Edoardo Eremin; 536; ITA; 24; 1993.10.05; 95; 185; 0-0; 0; 8,727; 292; 0-0; 0; 83,918
Marvin Netuschil; 537; GER; 26; 1991.07.02; 75; 183; 0-0; 0; 9,356; 306; 0-0; 0; 46,911
Adrien Bossel; 538; SUI; 31; 1986.12.28;  ; ;0-1; 0; 13,046; 262; 0-5; 0; 159,336
Nuno Borges; 539; POR; 20; 1997.02.19; 73; 185; 0-0; 0; 8,039; 534; 0-0; 0; 12,763
Joao Menezes; 540; BRA; 21; 1996.12.17; 80; 185; 0-0; 0; 10,556; 495; 0-0; 0; 30,795
Peter Torebko; 541; GER; 29; 1988.02.10; 84; 185; 0-0; 0; 4,565; 421; 0-0; 0; 196,130
Sidharth Rawat; 542; IND; 24; 1993.04.21; 70; 175; 0-0; 0; 12,212; 496; 0-0; 0; 37,673
Matias Franco Descotte; 543; ARG; 23; 1994.08.29;  ; ;0-0; 0; 4,889; 333; 0-0; 0; 36,312
Ronnie Schneider; 544; USA; 23; 1994.09.27; 70; 175; 0-0; 0; 10,687; 544; 0-0; 0; 24,372
Denis Yevseyev; 545; KAZ; 24; 1993.05.22;  ; ;0-0; 0; 12,123; 523; 0-0; 0; 68,463
Jacob Grills; 546; AUS; 22; 1995.06.18;  ; ;0-0; 0; 9,318; 529; 0-0; 0; 41,945
Ljubomir Celebic; 547; MNE; 26; 1991.09.15; 70; 175; 0-0; 0; 9,335; 437; 0-0; 0; 36,862
Andrea Vavassori; 548; ITA; 22; 1995.05.05; 78; 193; 0-0; 0; 12,541; 174; 0-0; 0; 44,812
Peter Kobelt; 549; USA; 27; 1990.11.17; 91; 201; 0-0; 0; 10,726; 332; 0-0; 0; 56,942
Romain Barbosa; 550; BEL; 23; 1994.04.17; 85; 185; 0-0; 0; 9,790; 403; 0-0; 0; 50,389
Jelle Sels; 551; NED; 22; 1995.08.10; 83; 188; 0-0; 0; 10,530; 551; 0-0; 0; 34,468
Jonathan Gray; 552; GBR; 20; 1997.04.09; 74; 185; 0-0; 0; 9,978; 550; 0-0; 0; 17,570
Pascal Meis; 553; GER; 24; 1993.06.11;  ; ;0-0; 0; 4,443; 458; 0-0; 0; 40,293
Gianni Mina; 554; FRA; 25; 1992.02.09; 85; 188; 0-0; 0; 10,349; 219; 1-4; 0; 150,509
Manuel Sanchez; 555; MEX; 26; 1991.01.05; 76; 183; 1-2; 0; 6,233; 320; 2-3; 0; 103,983
Jonas Merckx; 556; BEL; 24; 1993.10.04; 78; 173; 0-0; 0; 8,977; 481; 0-0; 0; 38,105
Makoto Ochi; 557; JPN; 21; 1996.05.03; 65; 175; 0-0; 0; 10,040; 370; 0-0; 0; 35,848
Maciej Rajski; 558; POL; 26; 1991.05.03; 80; 193; 0-0; 0; 9,556; 532; 0-0; 0; 27,413
Davide Galoppini; 559; ITA; 23; 1994.10.24; 68; 178; 0-0; 0; 11,791; 548; 0-0; 0; 27,681
Alexander Vasilenko; 560; RUS; 22; 1995.02.26;  ; ;0-0; 0; 11,442; 441; 0-0; 0; 46,780
Martins Podzus; 561; LAT; 23; 1994.06.29; 87; 191; 1-2; 0; 10,043; 437; 7-8; 0; 37,792
Raul Brancaccio; 562; ITA; 20; 1997.05.04;  ; ;0-0; 0; 5,255; 427; 0-0; 0; 25,121
Marcelo Tomas Barrios Vera; 563; CHI; 20; 1997.12.10; 83;  ;0-0; 0; 2,285; 380; 0-0; 0; 29,120
Finn Tearney; 564; NZL; 27; 1990.09.27; 80; 183; 0-3; 0; 13,804; 356; 2-4; 0; 64,168
Jeroen Vanneste; 565; BEL; 23; 1994.01.17;  ; ;0-0; 0; 3,123; 456; 0-0; 0; 27,436
Rudolf Molleker; 566; GER; 17; 2000.10.26;  ; ;0-1; 0; 20,381; 563; 0-1; 0; 23,098
Patrik Nema; 567; SVK; 20; 1997.10.25; 90; 191; 0-0; 0; 10,725; 564; 0-0; 0; 18,757
Nicholas S. Hu; 568; USA; 23; 1994.04.24; 84; 183; 0-0; 0; 3,574; 474; 0-0; 0; 17,643
Vit Kopriva; 569; CZE; 20; 1997.06.15; 69; 178; 0-0; 0; 3,600; 474; 0-0; 0; 26,351
Tomislav Jotovski; 570; MKD; 27; 1990.10.27;  ; ;0-0; 0; 10,263; 510; 0-3; 0; 53,291
Matthew Barton; 571; AUS; 26; 1991.12.18; 85; 191; 1-1; 0; 10,572; 306; 2-2; 0; 265,394
Grega Zemlja; 572; SLO; 31; 1986.09.29; 81; 183; 2-1; 0; 30,789; 43; 49-52; 0; 1,242,858
Luke Bambridge; 573; GBR; 22; 1995.01.21; 85; 191; 0-0; 0; 20,954; 126; 0-1; 0; 99,325
Andre Ghem; 574; BRA; 35; 1982.05.29; 86; 193; 0-0; 0; 29,373; 118; 2-5; 0; 534,466
Ronald Slobodchikov; 575; RUS; 24; 1993.12.04; 73; 178; 0-0; 0; 8,665; 575; 0-0; 0; 27,743
Omar Giacalone; 576; ITA; 25; 1992.01.11; 77; 180; 0-0; 0; 4,746; 325; 0-0; 0; 78,793
Danylo Kalenichenko; 577; UKR; 23; 1994.02.02; 78; 188; 0-0; 0; 10,007; 488; 0-1; 0; 36,281
Colin Van Beem; 578; NED; 25; 1992.04.28;  ; ;0-0; 0; 9,528; 537; 0-0; 0; 36,273
Kevin Krawietz; 579; GER; 25; 1992.01.24; 83; 191; 0-3; 0; 29,108; 106; 0-10; 0; 187,319
Benjamin Hassan; 580; GER; 22; 1995.02.04; 85; 183; 0-0; 0; 8,446; 580; 0-0; 0; 11,593
Ivan Endara; 581; ECU; 29; 1988.03.04; 75;  ;0-1; 0; 9,414; 367; 5-8; 0; 122,584
Jurabek Karimov; 612; UZB; 19; 1998.06.04; 75; 193; 0-0; 0; 11,044; 582; 0-1; 0; 37,444
Yunseong Chung; 583; KOR; 19; 1998.03.27; 78; 178; 0-0; 0; 10,906; 521; 0-0; 0; 30,923
Evan Furness; 584; FRA; 19; 1998.08.13; 68;  ;0-0; 0; 10,722; 549; 0-0; 0; 18,623
Alexios Halebian; 585; USA; 23; 1994.06.08;  ; ;0-1; 0; 15,203; 537; 0-1; 0; 56,358
Federico Zeballos; 586; BOL; 29; 1988.05.30; 75; 185; 1-0; 0; 7,688; 224; 3-6; 0; 76,395
Jonathan Kanar; 587; FRA; 23; 1994.09.19; 72; 180; 0-0; 0; 4,734; 333; 0-0; 0; 35,739
Andrey Golubev; 588; KAZ; 30; 1987.07.22; 79; 183; 0-0; 0; 12,896; 33; 67-117; 1; 2,663,623
Denys Molchanov; 589; UKR; 30; 1987.05.16; 83; 191; 4-1; 0; 25,498; 72; 10-18; 0; 466,302
Lamine Ouahab; 590; MAR; 33; 1984.12.22; 83; 185; 0-0; 0; 7,286; 114; 15-16; 0; 441,743
Oscar Jose Gutierrez; 591; BRA; 24; 1993.04.25; 67; 170; 0-0; 0; 8,321; 552; 0-0; 0; 29,026
Juan Carlos Saez; 592; CHI; 26; 1991.08.05;  ; ;0-0; 0; 3,906; 285; 0-1; 0; 100,225
Sho Katayama; 593; JPN; 28; 1989.05.12;  ; ;0-0; 0; 3,883; 374; 0-0; 0; 46,951
Pietro Licciardi; 594; ITA; 23; 1994.05.17;  ; ;0-0; 0; 3,491; 414; 0-0; 0; 47,577
David Vega Hernandez; 595; ESP; 23; 1994.06.23; 78; 188; 0-0; 0; 12,465; 166; 0-0; 0; 85,835
George Von Massow; 596; GER; 27; 1990.03.21; 90; 198; 0-0; 0; 4,187; 349; 0-0; 0; 47,182
Karunuday Singh; 597; IND; 27; 1990.11.19; 80; 180; 0-0; 0; 3,580; 493; 0-0; 0; 57,528
Marcus Willis; 598; GBR; 27; 1990.10.09; 91; 191; 0-0; 0; 28,389; 322; 1-1; 0; 215,521
Maxime Authom; 599; BEL; 30; 1987.03.29; 0; 0; 0-0; 0; 10,356; 143; 0-2; 0; 345,984
Marc-Andrea Huesler; 600; SUI; 21; 1996.06.24; 88; 196; 1-1; 0; 12,149; 320; 1-1; 0; 28,238
Ben Patael; 601; ISR; 20; 1997.06.02; 80; 188; 0-0; 0; 9,569; 499; 0-1; 0; 24,181
Yan Sabanin; 602; RUS; 27; 1990.01.31; 88; 191; 0-0; 0; 8,730; 599; 0-0; 0; 42,053
Dante Gennaro; 603; ARG; 24; 1993.05.14; 88; 188; 0-0; 0; 9,613; 603; 0-0; 0; 31,656
Robin Stanek; 604; CZE; 22; 1995.01.03; 75; 188; 0-0; 0; 3,559; 467; 0-0; 0; 59,758
Jose Pereira; 605; BRA; 26; 1991.01.26; 74; 180; 0-0; 0; 3,102; 260; 0-0; 0; 136,998
Deiton Baughman; 606; USA; 21; 1996.04.23;  ; ;0-0; 0; 3,550; 319; 0-2; 0; 60,129
Nicolae Frunza; 607; ROU; 20; 1997.11.15; 78; 185; 0-1; 0; 7,602; 442; 0-1; 0; 24,344
Arjun Kadhe; 608; IND; 23; 1994.01.07; 83; 185; 0-0; 0; 2,556; 603; 0-0; 0; 17,252
Frederik Nielsen; 609; DEN; 34; 1983.08.27; 86; 188; 2-1; 0; 7,162; 17; 59-48; 2; 930,326
Sami Reinwein; 610; GER; 25; 1992.05.29; 75; 180; 0-0; 0; 3,568; 485; 0-0; 0; 52,261
Franco Agamenone; 611; ARG; 24; 1993.04.15; 82; 188; 0-0; 0; 10,473; 177; 0-0; 0; 52,088
Kristian Lozan; 649; RUS; 19; 1998.10.26; 79; 188; 0-0; 0; 8,756; 612; 0-0; 0; 12,520
William Blumberg; 613; USA; 19; 1998.01.26; 84; 188; 0-0; 0; 15,795; 603; 0-0; 0; 24,509
Thiago Seyboth Wild; 614; BRA; 17; 2000.03.10;  ; ;0-0; 0; 6,415; 604; 0-0; 0; 8,017
Eric Quigley; 615; USA; 28; 1989.01.30; 84; 185; 0-0; 0; 2,922; 190; 0-1; 0; 122,680
Yecong He; 616; CHN; 23; 1994.02.15; 75; 180; 0-0; 0; 3,555; 498; 0-1; 0; 54,257
Nathan Pasha; 617; USA; 25; 1992.07.15; 85; 191; 0-0; 0; 6,705; 285; 0-1; 0; 41,767
Xin Gao; 618; CHN; 23; 1994.05.12; 80; 180; 0-0; 0; 10,200; 210; 0-0; 0; 88,127
Vasile Antonescu; 619; ROU; 27; 1990.03.24; 82; 183; 0-0; 0; 4,459; 391; 0-0; 0; 47,665
Saketh Myneni; 620; IND; 30; 1987.10.19; 85; 193; 0-1; 0; 4,235; 113; 5-5; 0; 261,171
Aslan Karatsev; 621; RUS; 24; 1993.09.04;  ; ;0-0; 0; 8,479; 153; 1-7; 0; 251,702
Alexei Popyrin; 622; AUS; 18; 1999.08.05; 78; 196; 0-0; 0; 10,676; 613; 0-0; 0; 15,368
Kuan-Yi Lee; 623; TPE; 21; 1996.09.09; 69; 178; 0-1; 0; 9,936; 447; 2-1; 0; 30,532
Gregoire Barrere; 624; FRA; 23; 1994.02.16; 83; 183; 0-1; 0; 10,751; 207; 1-3; 0; 193,214
Marvin Moeller; 625; GER; 18; 1999.01.18; 69; 178; 0-0; 0; 6,673; 619; 0-1; 0; 19,140
Hong Chung; 626; KOR; 24; 1993.05.16; 76; 170; 0-1; 0; 2,886; 464; 0-2; 0; 38,193
Christopher Diaz-Figueroa; 627; GUA; 27; 1990.03.14; 71; 178; 1-0; 0; 4,130; 275; 3-7; 0; 103,615
Alejandro Gomez; 628; COL; 26; 1991.08.14; 83; 188; 0-0; 0; 6,699; 352; 1-1; 0; 49,358
Yshai Oliel; 629; ISR; 17; 2000.01.05; 78; 188; 0-2; 0; 7,125; 629; 0-2; 0; 10,406
Alexander Kudryavtsev; 630; RUS; 32; 1985.10.26; 79; 183; 0-0; 0; 23,756; 117; 5-15; 0; 909,894
Zsombor Piros; 631; HUN; 18; 1999.10.13; 65; 178; 0-0; 0; 8,545; 626; 0-0; 0; 10,735
Vladimir Ivanov; 632; EST; 30; 1987.04.10;  ; ;2-1; 0; 9,545; 310; 7-5; 0; 92,177
Naoki Nakagawa; 633; JPN; 21; 1996.11.19; 75;  ;0-0; 0; 10,477; 531; 0-0; 0; 25,928
Yanais Laurent; 634; FRA; 25; 1992.06.06;  ; ;0-0; 0; 4,922; 425; 0-0; 0; 38,291
Marek Gengel; 635; CZE; 22; 1995.09.17; 78; 185; 0-0; 0; 4,867; 416; 0-0; 0; 18,905
Wilson Leite; 636; BRA; 26; 1991.11.06; 73; 178; 0-0; 0; 4,105; 333; 0-0; 0; 83,124
Gavin Van Peperzeel; 637; AUS; 25; 1992.03.29; 74; 180; 0-0; 0; 4,535; 237; 0-0; 0; 106,753
Roberto Marcora; 638; ITA; 28; 1989.08.30; 88; 193; 0-1; 0; 12,698; 178; 0-1; 0; 141,316
Matthias Haim; 639; AUT; 19; 1998.01.11;  ; ;0-0; 0; 2,908; 562; 0-0; 0; 12,698
Denys Mylokostov; 640; UKR; 24; 1993.04.05;  ; ;0-0; 0; 7,536; 458; 0-0; 0; 36,677
Louis Wessels; 641; GER; 19; 1998.08.27; 89; 201; 0-0; 0; 11,664; 515; 1-1; 0; 37,010
Miliaan Niesten; 642; NED; 29; 1988.06.27; 65; 183; 0-0; 0; 7,472; 431; 0-0; 0; 57,295
Olexiy Kolisnyk; 643; UKR; 21; 1996.04.30;  ; ;0-0; 0; 4,691; 409; 0-0; 0; 24,104
Alex Rybakov; 644; USA; 20; 1997.01.27; 73; 185; 0-0; 0; 7,576; 584; 0-0; 0; 20,883
Cheng-Yu Yu; 645; TPE; 22; 1995.04.02; 73; 188; 0-1; 0; 7,132; 531; 0-1; 0; 32,117
Billy Harris; 646; GBR; 22; 1995.01.25;  ; ;0-0; 0; 9,237; 646; 0-0; 0; 19,079
Hugo Nys; 647; FRA; 26; 1991.02.16; 77; 185; 5-8; 0; 77,511; 86; 5-9; 0; 175,875
Dekel Bar; 648; ISR; 24; 1993.03.15;  ; ;0-0; 0; 3,403; 379; 0-0; 0; 47,920
Filippo Leonardi; 649; ITA; 30; 1987.12.22;  ; ;0-0; 0; 8,725; 526; 0-0; 0; 73,167
Antonio Massara; 650; ITA; 22; 1995.09.16; 72;  ;0-0; 0; 8,871; 465; 0-0; 0; 35,431
Ilya Vasilyev; 651; RUS; 21; 1996.06.22; 76; 183; 0-0; 0; 9,253; 525; 0-0; 0; 23,655
Andriej Kapas; 652; POL; 28; 1989.08.11; 83; 188; 0-0; 0; 8,329; 323; 0-0; 0; 111,387
Alexander Zhurbin; 653; RUS; 25; 1992.01.14;  ; ;0-0; 0; 8,256; 555; 0-0; 0; 44,977
Pere Riba; 654; ESP; 29; 1988.04.07; 78; 183; 0-0; 0; 6,723; 65; 24-62; 0; 1,362,843
Eduardo Struvay; 655; COL; 27; 1990.12.17;  ; ;0-1; 0; 6,331; 158; 0-3; 0; 227,983
Manuel Pena Lopez; 656; ARG; 19; 1998.02.10; 675; 180; 0-0; 0; 2,310; 648; 1-3; 0; 22,158
Francesco Vilardo; 657; ITA; 28; 1989.12.28; 70; 178; 0-0; 0; 4,223; 413; 0-0; 0; 53,793
Jeffrey John Wolf; 658; USA; 19; 1998.12.21;  ; ;0-0; 0; 13,476; 654; 0-0; 0; 22,576
Yuki Mochizuki; 659; JPN; 20; 1997.11.23; 60; 173; 0-0; 0; 4,859; 654; 0-0; 0; 6,271
Kristijan Mesaros; 660; CRO; 29; 1988.07.02; 89; 188; 0-0; 0; 15,654; 184; 0-1; 0; 160,507
Yann Marti; 661; SUI; 29; 1988.06.07; 74; 173; 0-0; 0; 5,897; 200; 2-5; 0; 162,128
Borna Gojo; 662; CRO; 19; 1998.02.27; 90; 201; 0-0; 0; 7,451; 596; 0-0; 0; 14,105
Matias Zukas; 663; ARG; 21; 1996.05.04; 72; 183; 0-0; 0; 4,098; 399; 0-0; 0; 35,426
Daniiar Duldaev; 664; KGZ; 25; 1992.10.27; 80; 183; 0-0; 0; 4,101; 484; 0-0; 0; 40,333
